STOCK,Date,Open,High,Low,Close,Adj Close,Volume,Close_7_Days
AAPL,10/5/2024,184.899994,185.089996,182.130005,183.050003,183.050003,50759500,189.869995
META,10/5/2024,477.089996,477.5,469.600006,476.200012,476.200012,10750000,471.910004
AMD,9/5/2024,153.130005,154.089996,150.610001,152.389999,152.389999,33018000,162.619995
NVDA,9/5/2024,905.289978,910.719971,882.309998,887.469971,887.469971,37801300,943.590027
MSFT,9/5/2024,410.570007,412.720001,409.100006,412.320007,411.577637,14689700,420.98999
AMZN,9/5/2024,188.880005,191.699997,187.440002,189.5,189.5,43368400,183.630005
GOOG,9/5/2024,171.149994,172.440002,169.929993,171.580002,171.580002,11937700,175.429993
AAPL,9/5/2024,182.559998,184.660004,182.110001,184.570007,184.320007,48983000,189.839996
META,9/5/2024,470,476.079987,467.630005,475.420013,475.420013,9437700,473.230011
AMD,8/5/2024,153.399994,155.330002,152.520004,153.619995,153.619995,28728000,159.669998
NVDA,8/5/2024,894.830017,911.940002,894.200012,904.119995,904.119995,32572100,946.299988
MSFT,8/5/2024,408.170013,412.230011,406.709991,410.540009,409.800842,11792300,423.079987
AMZN,8/5/2024,187.440002,188.429993,186.389999,188,188,26136400,185.990005
GOOG,8/5/2024,170.75,171.908997,170.522003,171.160004,171.160004,14569900,173.880005
AAPL,8/5/2024,182.850006,183.070007,181.449997,182.740005,182.492477,45057100,189.720001
META,8/5/2024,463.5,475.579987,463,472.600006,472.600006,11683900,481.540009
AMD,7/5/2024,156.320007,157.699997,153.660004,154.429993,154.429993,37374900,153.160004
NVDA,7/5/2024,910.97998,917.809998,890.109985,905.539978,905.539978,43734200,913.559998
MSFT,7/5/2024,414.660004,414.670013,409.089996,409.339996,408.602997,20018200,416.559998
AMZN,7/5/2024,188.919998,189.940002,187.309998,188.759995,188.759995,34048900,187.070007
GOOG,7/5/2024,170.119995,173.470001,170,172.979996,172.979996,21102400,171.929993
AAPL,7/5/2024,183.449997,184.899994,181.320007,182.399994,182.152924,77305800,187.429993
META,7/5/2024,466.290009,471.529999,461.309998,468.23999,468.23999,13406800,471.850006
AMD,6/5/2024,153.100006,156.649994,151.259995,155.779999,155.779999,44624500,150.559998
NVDA,6/5/2024,893.900024,922.200012,890.549988,921.400024,921.400024,37620300,903.98999
MSFT,6/5/2024,408.76001,413.929993,406.369995,413.540009,412.795441,16996600,413.720001
AMZN,6/5/2024,186.279999,188.75,184.800003,188.699997,188.699997,34725300,186.570007
GOOG,6/5/2024,169.220001,169.899994,167.889999,169.830002,169.830002,15147900,170.899994
AAPL,6/5/2024,182.350006,184.199997,180.419998,181.710007,181.463882,78569700,186.279999
META,6/5/2024,455.579987,466.160004,453.339996,465.679993,465.679993,15094600,468.01001
AMD,3/5/2024,148.75,150.789993,147.240005,150.600006,150.600006,49361100,151.919998
NVDA,3/5/2024,877.890015,892.809998,870.400024,887.890015,887.890015,39834100,898.780029
MSFT,3/5/2024,402.279999,407.149994,401.859985,406.660004,405.927826,17446700,414.73999
AMZN,3/5/2024,186.990005,187.869995,185.419998,186.210007,186.210007,39172000,187.479996
GOOG,3/5/2024,169.539993,169.850006,164.979996,168.990005,168.990005,22767100,170.289993
AAPL,3/5/2024,186.649994,187,182.660004,183.380005,183.131607,163224100,183.050003
META,3/5/2024,445.929993,454.170013,443.850006,451.959991,451.959991,16489100,476.200012
AMD,2/5/2024,145.509995,147.619995,141.160004,146.160004,146.160004,50034700,152.389999
NVDA,2/5/2024,844.48999,862.369995,832,858.169983,858.169983,37789800,887.469971
MSFT,2/5/2024,397.660004,399.929993,394.649994,397.839996,397.123688,17709400,412.320007
AMZN,2/5/2024,180.850006,185.100006,179.910004,184.720001,184.720001,54303500,189.5
GOOG,2/5/2024,166.669998,168.529999,165.690002,168.460007,168.460007,17041100,171.580002
AAPL,2/5/2024,172.509995,173.419998,170.889999,173.029999,172.795624,94214900,184.570007
META,2/5/2024,438.839996,443.959991,432.279999,441.679993,441.679993,15221300,475.420013
AMD,1/5/2024,148.110001,151.369995,142.139999,144.270004,144.270004,89413200,153.619995
NVDA,1/5/2024,850.77002,860,812.549988,830.409973,830.409973,55986300,904.119995
MSFT,1/5/2024,392.609985,401.720001,390.309998,394.940002,394.228912,23562500,410.540009
AMZN,1/5/2024,181.639999,185.149994,176.559998,179,179,94645100,188
GOOG,1/5/2024,166.179993,168.809998,164.899994,165.570007,165.570007,25223200,171.160004
AAPL,1/5/2024,169.580002,172.710007,169.110001,169.300003,169.070679,50383100,182.740005
META,1/5/2024,428.600006,449.959991,427.109985,439.190002,439.190002,20344900,472.600006
AMD,30/4/2024,160.630005,162.289993,158.350006,158.380005,158.380005,60742800,154.429993
NVDA,30/4/2024,872.400024,888.190002,863,864.02002,864.02002,36370900,905.539978
MSFT,30/4/2024,401.48999,402.160004,389.170013,389.329987,388.628998,28781400,409.339996
AMZN,30/4/2024,181.089996,182.990005,174.800003,175,175,94639800,188.759995
GOOG,30/4/2024,167.380005,169.869995,164.5,164.639999,164.639999,29420800,172.979996
AAPL,30/4/2024,173.330002,174.990005,170,170.330002,170.099289,65934800,182.399994
META,30/4/2024,431.049988,439.619995,429.720001,430.170013,430.170013,18429500,468.23999
AMD,29/4/2024,159.080002,160.770004,156.259995,160.199997,160.199997,43478200,155.779999
NVDA,29/4/2024,875.950012,879.919983,852.659973,877.570007,877.570007,38897100,921.400024
MSFT,29/4/2024,405.25,406.320007,399.190002,402.25,401.525757,19582100,413.540009
AMZN,29/4/2024,182.75,183.529999,179.389999,180.960007,180.960007,54063900,188.699997
GOOG,29/4/2024,170.770004,171.380005,167.059998,167.899994,167.899994,35914600,169.830002
AAPL,29/4/2024,173.369995,176.029999,173.100006,173.5,173.264984,68169400,181.710007
META,29/4/2024,439.559998,439.76001,428.559998,432.619995,432.619995,21502600,465.679993
AMD,26/4/2024,154.240005,158.630005,153.429993,157.399994,157.399994,42510700,150.600006
NVDA,26/4/2024,838.179993,883.309998,833.869995,877.349976,877.349976,55101100,887.890015
MSFT,26/4/2024,412.170013,413,405.76001,406.320007,405.58844,29694700,406.660004
